2021-01-07 23:32:22,516 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 29
2021-01-07 23:32:22,520 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 3
2021-01-07 23:32:22,526 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 30
2021-01-07 23:32:22,531 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 31
2021-01-07 23:32:22,535 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 32
2021-01-07 23:32:22,540 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 33
2021-01-07 23:32:22,546 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 34
2021-01-07 23:32:22,553 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 35
2021-01-07 23:32:22,560 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 36
2021-01-07 23:32:22,567 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 37
2021-01-07 23:32:22,573 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 38
2021-01-07 23:32:22,580 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 39
2021-01-07 23:32:22,586 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 4
2021-01-07 23:32:22,591 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 40
2021-01-07 23:32:22,598 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 41
2021-01-07 23:32:22,602 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 42
2021-01-07 23:32:22,607 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 43
2021-01-07 23:32:22,613 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 44
2021-01-07 23:32:22,619 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 45
2021-01-07 23:32:22,626 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 46
2021-01-07 23:32:22,632 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 47
2021-01-07 23:32:22,639 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 48
2021-01-07 23:32:22,644 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 49
2021-01-07 23:32:22,650 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 5
2021-01-07 23:32:22,654 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 50
2021-01-07 23:32:22,660 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 51
2021-01-07 23:32:22,666 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 52
2021-01-07 23:32:22,670 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 53
