2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:01,945 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 40
2021-01-07 16:55:01,950 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 41
2021-01-07 16:55:01,955 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 42
2021-01-07 16:55:01,960 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 43
2021-01-07 16:55:01,965 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 44
2021-01-07 16:55:01,970 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 45
2021-01-07 16:55:01,974 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 46
2021-01-07 16:55:01,979 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 47
2021-01-07 16:55:01,984 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 48
2021-01-07 16:55:01,989 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 49
2021-01-07 16:55:01,994 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 5
2021-01-07 16:55:01,998 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 50
2021-01-07 16:55:02,003 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 51
2021-01-07 16:55:02,008 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 52
2021-01-07 16:55:02,012 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 53
2021-01-07 16:55:02,017 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 54
2021-01-07 16:55:02,021 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 55
2021-01-07 16:55:02,026 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 56
2021-01-07 16:55:02,031 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 57
2021-01-07 16:55:02,035 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 58
2021-01-07 16:55:02,040 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 59
