Unnamed: 0,Current,Voltage,sample,position
4,0.0008,0.00128746,25,82
5,0.001,0.00159025,25,82
0,0.0,4.44267,25,83
1,0.0002,10.002,25,83
2,0.0004,10.0018,25,83
3,0.0006,10.0017,25,83
4,0.0008,10.0018,25,83
5,0.001,10.0018,25,83
0,0.0,0.257511,25,84
1,0.0002,10.0021,25,84
2,0.0004,10.002,25,84
3,0.0006,10.0019,25,84
4,0.0008,10.0019,25,84
5,0.001,10.0019,25,84
0,0.0,0.10793699999999999,25,85
1,0.0002,10.0021,25,85
2,0.0004,10.002,25,85
3,0.0006,10.0018,25,85
4,0.0008,10.0019,25,85
5,0.001,10.0018,25,85
0,0.0,0.0010252,25,86
1,0.0002,10.0021,25,86
2,0.0004,10.002,25,86
3,0.0006,10.0019,25,86
4,0.0008,10.0019,25,86
5,0.001,10.0019,25,86
0,0.0,0.00100136,25,87
1,0.0002,10.0022,25,87
2,0.0004,10.0021,25,87
3,0.0006,10.002,25,87
4,0.0008,10.002,25,87
5,0.001,10.002,25,87
0,0.0,4.51306,25,88
1,0.0002,10.002,25,88
2,0.0004,10.0018,25,88
3,0.0006,10.0017,25,88
4,0.0008,10.0018,25,88
5,0.001,10.0017,25,88
0,0.0,0.14919000000000002,25,89
1,0.0002,10.0022,25,89
2,0.0004,10.0021,25,89
3,0.0006,10.0019,25,89
4,0.0008,10.0019,25,89
5,0.001,10.0019,25,89
0,0.0,3.68471,25,9
1,0.0002,10.0019,25,9
2,0.0004,10.002,25,9
3,0.0006,10.002,25,9
4,0.0008,10.002,25,9
5,0.001,10.0021,25,9
0,0.0,0.0626159,25,90
1,0.0002,10.0022,25,90
2,0.0004,10.002,25,90
3,0.0006,10.0019,25,90
4,0.0008,10.0019,25,90
5,0.001,10.0019,25,90
0,0.0,0.079124,25,91
1,0.0002,10.0023,25,91
2,0.0004,10.0021,25,91
3,0.0006,10.002,25,91
4,0.0008,10.002,25,91
5,0.001,10.002,25,91
0,0.0,4.23736,25,92
1,0.0002,10.0021,25,92
2,0.0004,10.0018,25,92
3,0.0006,10.0018,25,92
4,0.0008,10.0018,25,92
5,0.001,10.0018,25,92
0,0.0,0.24245300000000003,25,93
1,0.0002,10.0022,25,93
2,0.0004,10.002,25,93
3,0.0006,10.0019,25,93
4,0.0008,10.0019,25,93
5,0.001,10.0019,25,93
0,0.0,4.1856599999999995,25,94
1,0.0002,10.002,25,94
2,0.0004,10.0018,25,94
3,0.0006,10.0017,25,94
4,0.0008,10.0017,25,94
5,0.001,10.0017,25,94
0,0.0,4.50519,25,95
1,0.0002,10.0021,25,95
2,0.0004,10.0019,25,95
3,0.0006,10.0019,25,95
4,0.0008,10.0018,25,95
5,0.001,10.0018,25,95
0,0.0,4.53759,25,96
1,0.0002,10.0021,25,96
2,0.0004,10.0018,25,96
3,0.0006,10.0018,25,96
4,0.0008,10.0018,25,96
5,0.001,10.0018,25,96
0,0.0,5.20638,22,0
1,0.0002,10.0019,22,0
2,0.0004,10.0017,22,0
3,0.0006,10.0018,22,0
4,0.0008,10.0018,22,0
5,0.001,10.0017,22,0
0,0.0,4.65327,22,1
1,0.0002,10.0021,22,1
2,0.0004,10.0019,22,1
3,0.0006,10.0018,22,1
4,0.0008,10.0018,22,1
5,0.001,10.0018,22,1
0,0.0,4.14192,22,10
1,0.0002,10.002,22,10
2,0.0004,10.0018,22,10
3,0.0006,10.0018,22,10
4,0.0008,10.0018,22,10
5,0.001,10.0018,22,10
0,0.0,4.2800199999999995,22,11
1,0.0002,10.0021,22,11
2,0.0004,10.0019,22,11
3,0.0006,10.0019,22,11
4,0.0008,10.0019,22,11
5,0.001,10.0019,22,11
0,0.0,4.28512,22,12
1,0.0002,10.0021,22,12
2,0.0004,10.0018,22,12
3,0.0006,10.0018,22,12
4,0.0008,10.0018,22,12
5,0.001,10.0018,22,12
0,0.0,4.34605,22,13
1,0.0002,10.0021,22,13
2,0.0004,10.0019,22,13
3,0.0006,10.0018,22,13
4,0.0008,10.0018,22,13
5,0.001,10.0018,22,13
0,0.0,4.17815,22,14
1,0.0002,10.0021,22,14
2,0.0004,10.0019,22,14
3,0.0006,10.0018,22,14
4,0.0008,10.0018,22,14
5,0.001,10.0018,22,14
0,0.0,3.70665,22,15
1,0.0002,10.002,22,15
2,0.0004,10.0018,22,15
3,0.0006,10.0018,22,15
4,0.0008,10.0018,22,15
5,0.001,10.0018,22,15
0,0.0,3.8988699999999996,22,16
1,0.0002,10.0021,22,16
2,0.0004,10.0018,22,16
3,0.0006,10.0018,22,16
4,0.0008,10.0018,22,16
5,0.001,10.0018,22,16
0,0.0,4.1788300000000005,22,17
1,0.0002,10.002,22,17
2,0.0004,10.0018,22,17
3,0.0006,10.0017,22,17
4,0.0008,10.0017,22,17
5,0.001,10.0017,22,17
0,0.0,3.8187900000000004,22,18
1,0.0002,10.002,22,18
2,0.0004,10.0018,22,18
3,0.0006,10.0018,22,18
4,0.0008,10.0018,22,18
5,0.001,10.0018,22,18
0,0.0,3.9339800000000005,22,19
1,0.0002,10.0021,22,19
2,0.0004,10.0018,22,19
3,0.0006,10.0018,22,19
4,0.0008,10.0018,22,19
5,0.001,10.0018,22,19
0,0.0,4.08141,22,2
1,0.0002,10.0021,22,2
2,0.0004,10.0019,22,2
3,0.0006,10.0019,22,2
4,0.0008,10.0018,22,2
5,0.001,10.0018,22,2
0,0.0,3.91414,22,20
1,0.0002,10.0021,22,20
2,0.0004,10.0019,22,20
3,0.0006,10.0019,22,20
4,0.0008,10.0018,22,20
5,0.001,10.0018,22,20
0,0.0,3.78041,22,21
1,0.0002,10.002,22,21
2,0.0004,10.0018,22,21
3,0.0006,10.0018,22,21
4,0.0008,10.0018,22,21
5,0.001,10.0018,22,21
0,0.0,3.88754,22,22
1,0.0002,10.0021,22,22
2,0.0004,10.0018,22,22
3,0.0006,10.0018,22,22
4,0.0008,10.0018,22,22
5,0.001,10.0018,22,22
0,0.0,4.59391,22,23
1,0.0002,10.0022,22,23
2,0.0004,10.0019,22,23
3,0.0006,10.0019,22,23
4,0.0008,10.0019,22,23
5,0.001,10.0019,22,23
0,0.0,3.88255,22,24
1,0.0002,10.002,22,24
2,0.0004,10.0018,22,24
3,0.0006,10.0019,22,24
4,0.0008,10.0019,22,24
5,0.001,10.0018,22,24
0,0.0,3.8805,22,25
1,0.0002,10.0021,22,25
2,0.0004,10.0019,22,25
3,0.0006,10.0018,22,25
4,0.0008,10.0018,22,25
5,0.001,10.0018,22,25
0,0.0,4.2181,22,26
1,0.0002,10.0021,22,26
2,0.0004,10.0019,22,26
3,0.0006,10.0018,22,26
4,0.0008,10.0018,22,26
5,0.001,10.0018,22,26
0,0.0,4.12165,22,27
1,0.0002,10.0021,22,27
2,0.0004,10.0018,22,27
3,0.0006,10.0018,22,27
4,0.0008,10.0018,22,27
5,0.001,10.0018,22,27
0,0.0,4.41545,22,28
1,0.0002,10.0021,22,28
2,0.0004,10.0019,22,28
3,0.0006,10.0018,22,28
4,0.0008,10.0019,22,28
5,0.001,10.0018,22,28
0,0.0,4.05403,22,29
1,0.0002,10.002,22,29
2,0.0004,10.0018,22,29
3,0.0006,10.0018,22,29
4,0.0008,10.0018,22,29
5,0.001,10.0018,22,29
0,0.0,3.76554,22,3
1,0.0002,10.0021,22,3
2,0.0004,10.0019,22,3
3,0.0006,10.0018,22,3
4,0.0008,10.0018,22,3
5,0.001,10.0019,22,3
0,0.0,3.84085,22,30
1,0.0002,10.0019,22,30
2,0.0004,10.0017,22,30
3,0.0006,10.0017,22,30
4,0.0008,10.0017,22,30
5,0.001,10.0017,22,30
0,0.0,3.7194800000000003,22,31
1,0.0002,10.0019,22,31
2,0.0004,10.0017,22,31
3,0.0006,10.0017,22,31
4,0.0008,10.0017,22,31
5,0.001,10.0017,22,31
0,0.0,3.7686,22,32
1,0.0002,10.002,22,32
2,0.0004,10.0018,22,32
3,0.0006,10.0017,22,32
4,0.0008,10.0017,22,32
5,0.001,10.0017,22,32
0,0.0,3.95263,22,33
1,0.0002,10.002,22,33
2,0.0004,10.0018,22,33
3,0.0006,10.0018,22,33
4,0.0008,10.0018,22,33
5,0.001,10.0018,22,33
0,0.0,3.5509800000000005,22,34
1,0.0002,10.002,22,34
2,0.0004,10.0018,22,34
3,0.0006,10.0018,22,34
4,0.0008,10.0018,22,34
5,0.001,10.0017,22,34
0,0.0,3.9301,22,35
1,0.0002,10.0021,22,35
2,0.0004,10.0019,22,35
3,0.0006,10.0018,22,35
4,0.0008,10.0018,22,35
5,0.001,10.0018,22,35
0,0.0,4.175619999999999,22,36
1,0.0002,10.002,22,36
2,0.0004,10.0018,22,36
3,0.0006,10.0018,22,36
4,0.0008,10.0018,22,36
5,0.001,10.0018,22,36
0,0.0,3.81595,22,37
1,0.0002,10.002,22,37
2,0.0004,10.0018,22,37
3,0.0006,10.0017,22,37
4,0.0008,10.0017,22,37
5,0.001,10.0018,22,37
0,0.0,3.60006,22,38
1,0.0002,10.002,22,38
2,0.0004,10.0018,22,38
3,0.0006,10.0017,22,38
4,0.0008,10.0017,22,38
5,0.001,10.0017,22,38
0,0.0,3.8042800000000003,22,39
1,0.0002,10.002,22,39
2,0.0004,10.0018,22,39
3,0.0006,10.0018,22,39
4,0.0008,10.0018,22,39
5,0.001,10.0018,22,39
0,0.0,3.82999,22,4
1,0.0002,10.0021,22,4
2,0.0004,10.0019,22,4
3,0.0006,10.0018,22,4
4,0.0008,10.0018,22,4
5,0.001,10.0018,22,4
0,0.0,3.69368,22,40
1,0.0002,10.0019,22,40
2,0.0004,10.0017,22,40
3,0.0006,10.0017,22,40
4,0.0008,10.0017,22,40
5,0.001,10.0017,22,40
0,0.0,4.13213,22,41
1,0.0002,10.0021,22,41
2,0.0004,10.0018,22,41
3,0.0006,10.0018,22,41
4,0.0008,10.0018,22,41
5,0.001,10.0019,22,41
0,0.0,4.47208,22,42
1,0.0002,10.0021,22,42
2,0.0004,10.0019,22,42
3,0.0006,10.0019,22,42
4,0.0008,10.0018,22,42
5,0.001,10.0018,22,42
0,0.0,4.13396,22,43
1,0.0002,10.002,22,43
2,0.0004,10.0019,22,43
3,0.0006,10.0018,22,43
4,0.0008,10.0018,22,43
5,0.001,10.0018,22,43
0,0.0,4.65528,22,44
1,0.0002,10.0022,22,44
2,0.0004,10.0019,22,44
3,0.0006,10.0019,22,44
4,0.0008,10.0019,22,44
5,0.001,10.0019,22,44
0,0.0,4.1662300000000005,22,45
1,0.0002,10.002,22,45
2,0.0004,10.0018,22,45
3,0.0006,10.0018,22,45
4,0.0008,10.0018,22,45
5,0.001,10.0018,22,45
0,0.0,4.01543,22,46
1,0.0002,10.0021,22,46
2,0.0004,10.0019,22,46
3,0.0006,10.0019,22,46
4,0.0008,10.0018,22,46
5,0.001,10.0019,22,46
0,0.0,4.22925,22,47
1,0.0002,10.0021,22,47
2,0.0004,10.0019,22,47
3,0.0006,10.0018,22,47
4,0.0008,10.0018,22,47
5,0.001,10.0018,22,47
0,0.0,3.9311599999999998,22,48
1,0.0002,10.002,22,48
2,0.0004,10.0019,22,48
3,0.0006,10.0018,22,48
4,0.0008,10.0018,22,48
5,0.001,10.0018,22,48
0,0.0,3.73979,22,49
1,0.0002,10.0021,22,49
2,0.0004,10.0018,22,49
3,0.0006,10.0018,22,49
4,0.0008,10.0018,22,49
5,0.001,10.0018,22,49
0,0.0,4.18734,22,5
1,0.0002,10.0021,22,5
2,0.0004,10.0019,22,5
3,0.0006,10.0019,22,5
4,0.0008,10.0018,22,5
5,0.001,10.0018,22,5
0,0.0,4.03897,22,50
1,0.0002,10.002,22,50
2,0.0004,10.0018,22,50
3,0.0006,10.0018,22,50
4,0.0008,10.0018,22,50
5,0.001,10.0018,22,50
0,0.0,4.0267800000000005,22,51
1,0.0002,10.002,22,51
2,0.0004,10.0018,22,51
3,0.0006,10.0018,22,51
4,0.0008,10.0018,22,51
5,0.001,10.0018,22,51
0,0.0,3.7830699999999995,22,52
1,0.0002,10.0021,22,52
2,0.0004,10.0019,22,52
3,0.0006,10.0018,22,52
4,0.0008,10.0018,22,52
5,0.001,10.0018,22,52
