2021-01-07 23:23:12,898 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 27
2021-01-07 23:23:12,906 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 28
2021-01-07 23:23:12,914 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 29
2021-01-07 23:23:12,920 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 3
2021-01-07 23:23:12,925 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 30
2021-01-07 23:23:12,930 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 31
2021-01-07 23:23:12,936 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 32
2021-01-07 23:23:12,940 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 33
2021-01-07 23:23:12,945 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 34
2021-01-07 23:23:12,952 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 35
2021-01-07 23:23:12,959 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 36
2021-01-07 23:23:12,966 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 37
2021-01-07 23:23:12,974 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 38
2021-01-07 23:23:12,981 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 39
2021-01-07 23:23:12,988 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 4
2021-01-07 23:23:12,992 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 40
2021-01-07 23:23:12,997 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 41
2021-01-07 23:23:13,002 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 42
2021-01-07 23:23:13,007 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 43
2021-01-07 23:23:13,011 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 44
2021-01-07 23:23:13,018 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 45
2021-01-07 23:23:13,025 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 46
2021-01-07 23:23:13,032 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 47
2021-01-07 23:23:13,039 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 48
2021-01-07 23:23:13,045 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 49
2021-01-07 23:23:13,052 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 5
2021-01-07 23:23:13,057 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 50
2021-01-07 23:23:13,064 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 51
2021-01-07 23:23:13,072 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 52
2021-01-07 23:23:13,076 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 53
2021-01-07 23:23:13,082 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 54
2021-01-07 23:23:13,086 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 55
2021-01-07 23:23:13,096 - data_pipeline - INFO - ProcessConductance - y intercept: -3.4950071000000005 > 1 setting to conductance to 0
2021-01-07 23:23:13,097 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 56
2021-01-07 23:23:13,112 - data_pipeline - INFO - ProcessConductance - y intercept: 3.256046428571428 > 1 setting to conductance to 0
2021-01-07 23:23:13,113 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 57
2021-01-07 23:23:13,120 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 58
2021-01-07 23:23:13,127 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 59
2021-01-07 23:23:13,134 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 6
2021-01-07 23:23:13,139 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 60
2021-01-07 23:23:13,146 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 61
2021-01-07 23:23:13,153 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 62
2021-01-07 23:23:13,163 - data_pipeline - INFO - ProcessConductance - y intercept: -2.9112667000000023 > 1 setting to conductance to 0
2021-01-07 23:23:13,163 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 63
2021-01-07 23:23:13,169 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 64
2021-01-07 23:23:13,174 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 65
