sample,position,conductance
40,92,0.0
40,93,0.0
40,94,0.0
40,95,0.0
40,96,0.0
49,0,0.0
49,1,0.0
49,10,0.09273597762466325
49,11,0.0
49,12,0.0
49,13,0.15210931618496354
49,14,0.14727927833153617
49,15,0.12284570316441752
49,16,0.12680380679519856
49,17,0.1098067808510778
49,18,0.10081734784267797
49,19,0.0843344637364215
49,2,0.10837991992581854
49,20,0.0
49,21,0.0
49,22,0.1588062849175318
49,23,0.1650464216638989
49,24,0.14021744922025073
49,25,0.12557261110664625
49,26,0.12185660019737282
49,27,0.12144333670772313
49,28,0.13049530892667138
49,29,0.09853687520846705
49,3,0.0
49,30,0.08759490908399249
49,31,0.0
49,32,0.0
49,33,0.16054316799374704
49,34,0.17973779849954882
49,35,0.14924079608025437
49,36,0.14003020451511383
49,37,0.12943102491251382
49,38,0.11735133346320213
49,39,0.11096457622350923
49,4,0.0
49,40,0.08782056702478218
49,41,0.0
49,42,0.0
49,43,0.0
49,44,0.0
49,45,0.11218148271547773
49,46,0.15888367422582222
49,47,0.12965963142767936
49,48,0.13234217864341324
49,49,0.12449707627509012
49,5,0.0
49,50,0.09641139568923986
49,51,0.0
49,52,0.007541956591374575
49,53,0.0
49,54,0.0
49,55,0.0
49,56,0.0
49,57,0.1582073927150467
49,58,0.14474524113833442
49,59,0.1381132350953622
49,6,0.1468594833777093
49,60,0.11746868410740996
49,61,0.0866231678117218
49,62,0.010578579540075099
49,63,0.0
49,64,0.0
49,65,0.0
49,66,0.0
49,67,0.0
49,68,0.0
49,69,0.0
49,7,0.13568151516710966
49,70,0.0
49,71,0.0
49,72,0.0
49,73,0.0
49,74,0.0
49,75,0.0
49,76,0.0
49,77,0.0
49,78,0.0
49,79,0.0
49,8,0.12817094928531872
49,80,0.0
49,81,0.0
49,82,0.0
49,83,0.0
49,84,0.0
49,85,0.0
49,86,0.0
49,87,0.0
49,88,0.0
49,89,0.0
49,9,0.10712640012291985
49,90,0.0
49,91,0.0
49,92,0.0
49,93,0.0
49,94,0.0
49,95,0.0
49,96,0.0
12,0,0.10818426314616525
12,1,0.11170336055570823
12,10,0.08677721091597805
12,11,0.0
12,12,0.1459250685196371
12,13,0.1233671150679448
12,14,0.11196330290783889
12,15,0.11609378254772114
12,16,0.09669737706292628
12,17,0.08838627681836927
12,18,0.09126296602292809
12,19,0.08319198618727798
12,2,0.08758749991241245
12,20,0.0
12,21,0.12123264154235626
12,22,0.07686123741211945
12,23,0.10261471830757249
12,24,0.10127991772598222
12,25,0.11211717590287955
12,26,0.09345287825519731
12,27,0.08652887561288707
12,28,0.08613042397885766
12,29,0.089550527989913
12,3,0.0
12,30,0.06572218256983872
12,31,0.0
12,32,0.0
12,33,0.0
12,34,0.11942784847574658
12,35,0.06361743166703979
12,36,0.1081006954889888
12,37,0.10869690117557249
12,38,0.10065202381024269
12,39,0.09987100233320059
12,4,0.0
12,40,0.08806556808644715
12,41,0.07068409837509877
12,42,0.0
12,43,0.0
12,44,0.0
12,45,0.12179596148950891
12,46,0.12988907102223066
12,47,0.09881240894701188
12,48,0.10394438500228043
12,49,0.10108822192966004
12,5,0.14180209188471685
12,50,0.10130152928406516
12,51,0.09662417894466654
12,52,0.0
12,53,0.0
12,54,0.0
12,55,0.0
12,56,0.0
12,57,0.0
12,58,0.0
12,59,0.09120879471682172
12,6,0.13454976572963648
12,60,0.09985393509023474
12,61,0.1025967982470604
12,62,0.0
12,63,0.0
12,64,0.0
12,65,0.0
12,66,0.0
12,67,0.0
12,68,0.0
12,69,0.0
12,7,0.09883552688195724
12,70,0.0
12,71,0.0
12,72,0.0
12,73,0.0
12,74,0.0
12,75,0.0
12,76,0.0
12,77,0.0
12,78,0.0
12,79,0.0
12,8,0.09681192789336963
12,80,0.0
12,81,0.0
12,82,0.0
12,83,0.0
12,84,0.0
12,85,0.0
12,86,0.0
12,87,0.0
12,88,0.0
12,89,0.0
12,9,0.09525057500731045
12,90,0.0
12,91,0.0
12,92,0.0
12,93,0.0
