sample,position,xrf_avg,xrf_std,cond,cond_nan,cond_nan_pass,xrf_avg_rel,xrf_avg_rel_pass,condxrf,condxrf_pass
0,93,104601.30196182984,87436.39615881264,0.0,,False,,False,,False
0,94,98220.35592881418,21600.518860373577,0.0,,False,,False,,False
0,95,99704.50354373567,25205.443111016764,0.0,,False,,False,,False
0,96,98709.14705947695,25005.615486852013,0.0,,False,,False,,False
1,0,353635.93947877095,367126.4817479378,0.0,,False,,False,,False
1,1,495332.0447021707,365996.3702052664,0.0,,False,,False,,False
1,2,543313.5595103202,312918.7283616085,0.0,,False,,False,,False
1,3,531618.1208202804,291089.1134609386,0.0,,False,,False,,False
1,4,495136.5282499056,263022.8515723888,0.0,,False,,False,,False
1,5,409882.4679508542,385494.3599354739,0.0,,False,,False,,False
1,6,691852.7405629986,346568.710601701,0.0,,False,,False,,False
1,7,782270.2126241421,246190.09488027196,0.0,,False,,False,,False
1,8,698011.5088093493,185786.54482976347,0.0,,False,,False,,False
1,9,635935.0352151791,229727.8478194888,0.0,,False,,False,,False
1,10,588966.6511142217,223706.22543742333,0.0,,False,,False,,False
1,11,597907.0852496169,193734.7730801573,0.0,,False,,False,,False
1,12,423568.6196094114,479518.46436176007,0.0,,False,,False,,False
1,13,670950.2543935657,390440.3331551857,0.0,,False,,False,,False
1,14,783612.1664555978,246886.15175756716,0.0,,False,,False,,False
1,15,778662.045368704,242398.24786793825,0.0,,False,,False,,False
1,16,670239.2854762382,163326.52502925936,0.0,,False,,False,,False
1,17,641036.2371970051,194039.78912828682,0.0,,False,,False,,False
1,18,629216.378946433,179440.46935732782,0.0,,False,,False,,False
1,19,641871.625674865,163061.03505669357,0.0,,False,,False,,False
1,20,571583.4610855607,196373.30073368983,0.0,,False,,False,,False
1,21,191632.78455420025,265297.8582897215,0.0,,False,,False,,False
1,22,618925.1038681153,544343.6247121586,0.0,,False,,False,,False
1,23,795360.9278144372,391305.2687195179,0.0,,False,,False,,False
1,24,714870.3592614811,268271.8607106477,0.0,,False,,False,,False
1,25,778537.6258081717,283811.21833885583,0.0,,False,,False,,False
1,26,706312.0709191493,231487.92604298663,0.0,,False,,False,,False
1,27,615601.3241796086,176446.1094271955,0.0,,False,,False,,False
1,28,623368.6596014132,157138.91490997723,0.0,,False,,False,,False
1,29,638476.7490946256,138284.41851996112,0.0,,False,,False,,False
1,30,606891.9549423449,152072.02125452922,0.0,,False,,False,,False
1,31,544495.5453353772,183501.92159488387,0.0,,False,,False,,False
1,32,199382.3457530716,248533.34351675515,0.0,,False,,False,,False
1,33,516669.9993334666,481464.97085960227,0.0,,False,,False,,False
1,34,751494.1456153214,420278.38875723607,0.0,,False,,False,,False
1,35,709031.5270279278,310296.43049270194,0.0,,False,,False,,False
1,36,721038.0146192983,298846.63392709737,0.0,,False,,False,,False
1,37,749832.2557710679,273079.75007918384,0.0,,False,,False,,False
1,38,703583.7276989047,193225.92782316587,0.0,,False,,False,,False
1,39,681792.5303828123,156532.55851499713,0.0,,False,,False,,False
1,40,591792.752560599,184424.833100026,0.0,,False,,False,,False
1,41,549792.2637694683,183418.28022566487,0.0,,False,,False,,False
1,42,569619.409451443,186363.96706893863,0.0,,False,,False,,False
