sample,position,xrf_avg,xrf_std
25,59,436588.23790797393,364718.4384933779
25,60,341718.3230020662,264693.1263753842
25,61,368237.4636183874,318505.64399769093
25,62,439138.83889888687,407933.73671217886
25,63,322237.7746672887,393080.28000336274
25,64,142984.7363860561,219176.77357103847
25,65,93599.0579661845,16494.93376559393
25,66,87538.04794596632,13190.551303735396
25,67,137128.1299295696,249999.76891949514
25,68,287604.7012819658,422830.8092917443
25,69,430642.7603368215,483733.4184786137
25,70,446150.76984603074,447463.7718100049
25,71,445466.4622631028,427434.4284687741
25,72,440809.6158546068,443911.61131564487
25,73,369641.62723010953,433685.17330816947
25,74,210055.76662445287,326313.5618246642
25,75,85840.60965584655,13676.031614132691
25,76,87689.12884089845,14735.157776503736
25,77,84960.78562065361,12335.169852833038
25,78,85582.8834233153,12815.479743042919
25,79,128658.712701904,214369.92202217257
25,80,231100.44657735113,367566.0938845806
25,81,329045.30205070094,448293.5416025159
25,82,290795.1742984736,417725.40732514753
25,83,159159.27925526004,259907.54339405356
25,84,87075.91814970337,33610.14146476825
25,85,88080.16174542866,13937.05937333289
25,86,87058.14392677016,13281.20456928327
25,87,85520.67364304913,13134.58551998796
25,88,84854.14028305448,13225.819468980631
25,89,85182.96340731849,13432.921163671908
25,90,84436.44604412447,13315.62171684811
25,91,83485.52511719876,13514.734168715902
25,92,89795.37425848159,15340.719596473295
25,93,87022.59548090378,13773.979214799754
25,94,85227.3989646515,12473.18046130436
25,95,85778.3998755804,17529.015794724422
25,96,86729.32080250615,18179.94146194794
22,0,95100.97980403915,15711.784729532512
22,1,92274.87835766176,15464.815033156825
22,2,123646.38183474413,190902.36480775865
22,3,194601.07978404316,282431.41190481966
22,4,257352.97384967445,357647.4427387553
22,5,92825.8792685907,15467.531785258667
22,6,101935.16852185116,106203.25026016982
22,7,148734.6975049434,198475.64450291678
22,8,262463.06294296694,337275.02310301777
22,9,329187.4958341664,341702.38553019194
22,10,352142.9047523828,350248.1407201291
22,11,324041.8582950076,411227.8425915245
22,12,93936.76820191513,14758.492909368257
22,13,156741.98493634604,267486.65076811676
22,14,238547.84598635824,341216.4159778289
22,15,267502.0551445266,291200.1451096385
22,16,314417.1165766846,288139.43555694557
22,17,314488.21346841735,248812.42751104297
22,18,287524.7172787664,192743.61652936004
22,19,393894.5544224488,401420.83159247437
22,20,299202.38174587296,418746.24823747337
22,21,94674.39845364256,15259.369661037621
22,22,139589.85980581658,232974.17799986957
22,23,284343.1313737252,393403.55099368223
22,24,366460.0413250682,386996.5930337025
22,25,287258.10393476853,241029.6938322924
22,26,239472.10557888416,94983.88411516768
22,27,231607.01193094705,58723.403229272604
22,28,228736.4749272367,66919.62832087274
22,29,340198.6269412783,315479.301361471
22,30,285818.39187718,354258.99149310915
22,31,120686.97371636781,161118.3921679054
22,32,91466.15121420159,14353.265558055373
22,33,247746.00635428468,373924.01849537005
22,34,381070.45257615135,404312.85185489885
22,35,319847.14168277447,259642.16701329124
22,36,235721.74453998083,45563.78280512719
22,37,235446.24408451634,45726.046201022116
22,38,238618.94287809095,64376.77184661063
22,39,227012.37530271715,67577.94504484095
22,40,254802.3728587615,167554.39852242926
22,41,258143.92677020145,266443.05195698387
22,42,172676.57579595188,242885.76443139376
22,43,91128.44097847094,21174.80709015318
22,44,365775.7337421404,473511.2983696454
22,45,452656.1354395786,430746.23661881685
22,46,270870.27039036626,55593.506028739364
22,47,258552.73389766482,41238.424668686646
22,48,259761.3810571218,49678.34419226716
22,49,258801.57301872948,66153.56727130206
22,50,245204.29247483824,67428.75488663954
22,51,238325.6681996933,52108.103130389456
22,52,296171.87673576386,280984.5038465481
22,53,223537.51471927835,302693.844474089
22,54,100939.81203759245,83872.48160294931
22,55,414174.9427892199,506360.42789835524
